nodeID, floor, Type, X, Y, EdgeID, Weight
2024,2,SECTION,37,-35,2023,2
2024,2,SECTION,37,-35,2025,3
2024,2,SECTION,37,-35,2043,3
2025,2,SECTION,37,-15,2026,2
2025,2,SECTION,37,-15,2024,3
2025,2,SECTION,37,-15,2041,3
2025,2,SECTION,37,-15,2047,4
2026,2,SECTION,28,-15,2021,1
2026,2,SECTION,28,-15,2025,2
2026,2,SECTION,28,-15,2027,1
2027,2,SECTION,28,-10,2026,1
2027,2,SECTION,28,-10,2104,3
2027,2,SECTION,28,-10,2028,3
2028,2,SECTION,28,7,2027,3
2028,2,SECTION,28,7,2106,1
2028,2,SECTION,28,7,2040,1
2028,2,SECTION,28,7,2029,3
2029,2,SECTION,28,28,2028,3
2029,2,SECTION,28,28,2038,1
2029,2,SECTION,28,28,2030,1
2030,2,SECTION,24,28,2029,1
2030,2,SECTION,24,28,2107,1
2030,2,SECTION,24,28,2031,3
2031,2,SECTION,24,47,2030,3
2031,2,SECTION,24,47,2032,2
2031,2,SECTION,24,47,2111,1
2032,2,SECTION,24,58,2031,2
2032,2,SECTION,24,58,2033,1
2033,2,SECTION,28,58,2032,1
2033,2,SECTION,28,58,2034,1
2033,2,SECTION,28,58,249,1
2034,2,SECTION,33,58,2033,1
2034,2,SECTION,33,58,2035,2
2035,2,SECTION,33,49,2034,2
2035,2,SECTION,33,49,2036,1
2035,2,SECTION,33,49,2054,5
2036,2,SECTION,33,45,2035,1
2036,2,SECTION,33,45,2037,2
2036,2,SECTION,33,45,9001,1
2037,2,SECTION,33,38,2036,1
2037,2,SECTION,33,38,2038,2
2037,2,SECTION,33,38,2110,1
2038,2,SECTION,33,28,2037,2
2038,2,SECTION,33,28,2039,2
2038,2,SECTION,33,28,2029,1
2038,2,SECTION,33,28,2109,1
2039,2,SECTION,33,12,2038,2
2039,2,SECTION,33,12,2040,1
2039,2,SECTION,33,12,2108,1
2040,2,SECTION,33,7,2028,1
2040,2,SECTION,33,7,2039,1
2040,2,SECTION,33,7,2041,1
2041,2,SECTION,37,7,2040,1
2041,2,SECTION,37,7,2025,3
2042,2,SECTION,54,-42,2043,1
2042,2,SECTION,54,-42,2055,4
2042,2,SECTION,54,-42,8203,1
2043,2,SECTION,54,-35,2042,1
2043,2,SECTION,54,-35,2024,3
2043,2,SECTION,54,-35,2059,2
2044,2,SECTION,61,-22,2059,1
2044,2,SECTION,61,-22,2047,1
2044,2,SECTION,61,-22,2045,1
2045,2,SECTION,69,-22,204,1
2045,2,SECTION,69,-22,2046,1
2045,2,SECTION,69,-22,2056,3
2046,2,SECTION,69,-12,2045,1
2046,2,SECTION,69,-12,2048,1
2046,2,SECTION,69,-12,255,1
2047,2,SECTION,61,-15,2044,1
2047,2,SECTION,61,-15,2048,2
2047,2,SECTION,61,-15,2025,5
2048,2,SECTION,67,-5,2046,1
2048,2,SECTION,67,-5,2047,2
2048,2,SECTION,67,-5,2049,4
2049,2,SECTION,81,3,2048,4
2049,2,SECTION,81,3,2050,4
2050,2,SECTION,81,24,2049,4
2050,2,SECTION,81,24,2051,3
2051,2,SECTION,69,36,2050,3
2051,2,SECTION,69,36,2052,2
2051,2,SECTION,69,36,2053,2
2052,2,SECTION,69,43,268,1
2052,2,SECTION,69,43,2051,1
2052,2,SECTION,69,43,2053,1
2053,2,SECTION,61,43,2051,2
2053,2,SECTION,61,43,2052,2
2053,2,SECTION,61,43,2054,1
2054,2,SECTION,61,49,2053,1
2054,2,SECTION,61,49,2035,5
2055,2,SECTION,78,-42,8204,1
2055,2,SECTION,78,-42,2057,1
